date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:13	243/243	------	403	error ('Forbidden')	application/xml	date:Thu,%2012%20Sep%202019%2008:27:32%20GMT	https://demo.hasthemes.com/robots.txt		(from )
15:49:13	32491/32491	------	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:48:59%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3-html-tfed90.html	(from )
15:49:13	243/243	------	403	error ('Forbidden')	application/xml	date:Thu,%2012%20Sep%202019%2008:27:32%20GMT	https://demo.hasthemes.com/boighor-preview/index.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/index.b.delayed	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	1150/1150	------	200	untouched ('')	application/octet-stream	etag:%229c9a750812bab056b475fb9cc078f51e%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/favicon.ico	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/favicon.ico	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	122231/122231	------	200	untouched ('OK')	text/css	date:Thu,%2027%20Jun%202019%2004:49:28%20GMT	https://demo.hasthemes.com/boighor-preview/p2/css/bootstrap.min.css	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/css/bootstrap.min.css	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	30999/30999	------	200	untouched ('OK')	text/css	date:Thu,%2027%20Jun%202019%2004:49:29%20GMT	https://demo.hasthemes.com/boighor-preview/p2/css/font-awesome.min.css	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/css/font-awesome.min.css	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	7067/7067	------	200	untouched ('OK')	text/css	date:Thu,%2027%20Jun%202019%2004:49:28%20GMT	https://demo.hasthemes.com/boighor-preview/p2/css/et-line.css	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/css/et-line.css	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	25396/25396	------	200	untouched ('OK')	text/css	date:Thu,%2027%20Jun%202019%2004:49:29%20GMT	https://demo.hasthemes.com/boighor-preview/p2/css/plugins.css	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/css/plugins.css	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	21656/21656	------	200	untouched ('OK')	text/css	date:Thu,%2027%20Jun%202019%2004:49:11%20GMT	https://demo.hasthemes.com/boighor-preview/p2/style.css	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/style.css	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	1730/1730	------	200	untouched ('OK')	text/css	date:Thu,%2027%20Jun%202019%2004:49:29%20GMT	https://demo.hasthemes.com/boighor-preview/p2/css/responsive.css	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/css/responsive.css	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	15514/15514	------	200	untouched ('')	application/javascript	date:Thu,%2027%20Jun%202019%2004:50:47%20GMT	https://demo.hasthemes.com/boighor-preview/p2/js/vendor/modernizr-2.8.3.min.js	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/js/vendor/modernizr-2.8.3.min.js	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	156/156	------	403	error ('Forbidden')	text/html	date:Thu,%2012%20Sep%202019%2008:28:10%20GMT	https://demo.hasthemes.com/boighor-preview/p2/fonts/glyphicons-halflings-regular.eot	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/fonts/glyphicons-halflings-regular.49.delayed	(from https://demo.hasthemes.com/boighor-preview/p2/css/bootstrap.min.css)
15:49:13	154961/154961	------	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:49:05%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3/index.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3/index.html	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	5306/5306	------	200	untouched ('')	image/png	etag:%22982f22ac082a96752172c741e14b3cfc%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/logo.png	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/logo.png	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	302336/302336	------	200	untouched ('')	image/jpeg	etag:%22371153ea9a75269d908bd6b0043961c9%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/bg.jpg	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/bg.jpg	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	48714/48714	------	200	untouched ('')	image/jpeg	etag:%227f0ff0c6fe3823fbf5d31c612449678b%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/defalut-home.jpg	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/defalut-home.jpg	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	146585/146585	------	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:49:03%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3/index-2.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3/index-2.html	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	41477/41477	------	200	untouched ('')	image/jpeg	etag:%22de3c7524f4918c20f4ef588b906595c0%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/home-two.jpg	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/home-two.jpg	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	154968/154968	------	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:49:03%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3/index-box.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3/index-box.html	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	48968/48968	------	200	untouched ('')	image/jpeg	etag:%2289709ae093a1486ddc6f5380f9356bdc%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/home-box.jpg	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/home-box.jpg	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	62811/62811	------	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:49:05%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3/shop-grid.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3/shop-grid.html	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	72835/72835	------	200	untouched ('')	image/jpeg	etag:%22c2f7c5eba2fd8fe72a06fc1079f826a7%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/shop-gird.jpg	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/shop-gird.jpg	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	62802/62802	------	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:49:06%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3/shop-left-sidebar.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3/shop-left-sidebar.html	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	68011/68011	------	200	untouched ('')	image/jpeg	etag:%225c41df673eff0536e43d63fbd2a6449a%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/shop-left-sidebar.jpg	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/shop-left-sidebar.jpg	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	243/243	------	403	error ('Forbidden')	application/xml	date:Thu,%2012%20Sep%202019%2008:28:11%20GMT	https://demo.hasthemes.com/boighor-preview/p2/fonts/glyphicons-halflings-regular.eot?	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/fonts/glyphicons-halflings-regular.4ad41d.delayed	(from https://demo.hasthemes.com/boighor-preview/p2/css/bootstrap.min.css)
15:49:13	62760/62760	------	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:49:07%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3/shop-right-sidebar.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3/shop-right-sidebar.html	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
